system,CO-atop,d-hi1,d-hi2,d-pos1,d-pos2,d-wd1,d-wd2,p-hi1,p-hi2,p-pos1,p-pos2,p-wi1,p-wi2,s-hi1,s-hi2,s-pos1,s-pos2,s-wi1,s-wi2,energy,efermi
Rh0.4Pd0.6_111,-1.770 ,1672.137 ,1359.422 ,-3.621 ,-1.464 ,1.680 ,0.903 ,59.192 ,47.937 ,-3.544 ,2.448 ,2.156 ,0.950 ,127.300 ,28.863 ,-6.121 ,-3.674 ,1.076 ,0.867 ,-353.541 ,-1.297 
Ir0.2Au0.8_111,-0.015 ,1620.286 ,404.969 ,-4.615 ,-1.458 ,2.294 ,0.654 ,59.083 ,56.502 ,-5.203 ,0.517 ,2.660 ,1.791 ,119.056 ,93.444 ,-7.572 ,3.742 ,1.141 ,0.923 ,-260.953 ,-1.196 
Rh0.4Au0.6_111,-0.026 ,1428.869 ,752.644 ,-3.916 ,-1.440 ,2.107 ,0.782 ,62.002 ,55.345 ,1.550 ,-4.282 ,2.101 ,3.258 ,111.071 ,40.718 ,-7.175 ,3.997 ,1.599 ,0.632 ,-290.415 ,-1.232 
Ir0.3Au0.7_111,0.150 ,1452.668 ,427.448 ,-4.380 ,-1.353 ,2.255 ,0.789 ,60.969 ,53.256 ,-5.037 ,4.465 ,2.778 ,0.609 ,133.562 ,81.312 ,-7.507 ,4.067 ,1.485 ,0.910 ,-290.213 ,-1.122 
Rh0.5Pd0.5_111,-0.913 ,1565.089 ,1244.591 ,-3.543 ,-1.322 ,1.759 ,0.931 ,59.169 ,46.762 ,-3.447 ,2.579 ,2.160 ,0.965 ,124.616 ,28.189 ,-6.106 ,-3.593 ,1.085 ,0.915 ,-365.992 ,-1.203 
Rh0.1Pt0.9_111,-1.320 ,1346.978 ,1206.765 ,-3.920 ,-1.285 ,1.997 ,1.023 ,68.211 ,55.362 ,-4.233 ,1.703 ,3.121 ,1.713 ,131.089 ,36.248 ,-7.238 ,3.031 ,1.576 ,1.032 ,-380.925 ,-0.998 
Ir0.4Au0.6_111,-2.131 ,1398.740 ,573.607 ,-4.693 ,-1.272 ,2.588 ,1.022 ,53.198 ,47.428 ,-5.596 ,3.803 ,2.456 ,0.710 ,135.789 ,65.053 ,-7.491 ,4.016 ,1.566 ,0.613 ,-319.310 ,-0.987 
Ir0.1Pt0.9_111,-1.255 ,1312.383 ,1203.857 ,-4.006 ,-1.254 ,1.839 ,1.157 ,70.532 ,55.914 ,-4.260 ,1.831 ,3.211 ,1.754 ,136.306 ,35.495 ,-7.332 ,3.302 ,1.573 ,0.800 ,-391.136 ,-0.899 
Rh0.2Pt0.8_111,-1.230 ,1341.662 ,1169.823 ,-3.812 ,-1.198 ,2.077 ,1.003 ,69.140 ,57.390 ,-3.674 ,3.349 ,2.148 ,0.959 ,127.098 ,32.569 ,-7.162 ,1.689 ,1.603 ,0.999 ,-387.432 ,-0.967 
Ir0.2Pt0.8_111,-1.202 ,1276.811 ,1158.344 ,-3.971 ,-1.131 ,1.852 ,1.219 ,124.446 ,72.584 ,2.664 ,-4.196 ,1.305 ,3.314 ,136.966 ,34.319 ,-7.348 ,3.483 ,1.593 ,0.761 ,-405.502 ,-0.808 
