system,CO-atop,d-hi1,d-hi2,d-pos1,d-pos2,d-wd1,d-wd2,p-hi1,p-hi2,p-pos1,p-pos2,p-wi1,p-wi2,s-hi1,s-hi2,s-pos1,s-pos2,s-wi1,s-wi2,energy,efermi
Ir0.5Pt0.5_111,-1.159 ,1287.954 ,938.852 ,-3.839 ,-0.274 ,1.554 ,0.823 ,59.859 ,59.393 ,2.308 ,-2.915 ,1.260 ,3.720 ,148.956 ,33.295 ,-7.343 ,-3.813 ,1.636 ,0.905 ,-450.532 ,-0.553 
Pd0.2Ir0.8_111,-1.745 ,1361.260 ,588.737 ,-3.187 ,-0.113 ,3.413 ,0.924 ,96.435 ,53.687 ,-3.463 ,2.112 ,3.214 ,1.624 ,154.370 ,35.301 ,-7.123 ,-3.513 ,1.701 ,0.979 ,-480.878 ,-0.439 
Pd0.1Ir0.9_111,-1.781 ,1353.857 ,1126.541 ,-3.428 ,0.017 ,1.420 ,1.262 ,100.114 ,52.315 ,-3.376 ,2.309 ,3.348 ,1.513 ,160.404 ,36.490 ,-7.167 ,-3.469 ,1.701 ,0.979 ,-504.808 ,-0.296 
Rh0.4Ir0.6_111,-1.786 ,1311.044 ,924.563 ,-3.321 ,0.153 ,3.282 ,1.285 ,96.827 ,18.884 ,-3.169 ,-6.067 ,3.593 ,0.935 ,152.893 ,37.458 ,-6.851 ,-3.270 ,1.717 ,0.957 ,-498.580 ,-0.391 
Rh0.3Ir0.7_111,-1.464 ,1266.789 ,906.560 ,-3.385 ,0.229 ,3.264 ,0.740 ,98.285 ,18.314 ,-3.198 ,-6.183 ,3.638 ,0.979 ,155.354 ,37.706 ,-6.955 ,-3.306 ,1.725 ,0.968 ,-507.341 ,-0.328 
Rh0.1Ir0.9_111,-1.754 ,1331.526 ,1197.064 ,-3.296 ,0.334 ,1.360 ,0.925 ,102.534 ,18.349 ,-3.242 ,-6.525 ,3.699 ,1.064 ,163.277 ,38.062 ,-7.133 ,-3.381 ,1.720 ,1.004 ,-525.433 ,-0.198 
Rh0.2Ir0.8_111,-1.732 ,2189.100 ,750.128 ,-2.289 ,0.417 ,2.159 ,0.740 ,100.250 ,17.861 ,-3.222 ,-6.380 ,3.671 ,1.040 ,157.685 ,37.614 ,-7.050 ,-3.337 ,1.741 ,0.985 ,-516.472 ,-0.265 
Pt0.1Cu0.9_111,-0.301 ,2860.741 ,69.113 ,1.925 ,-4.074 ,1.518 ,2.612 ,76.488 ,61.741 ,0.641 ,-5.141 ,2.586 ,2.404 ,85.879 ,62.785 ,-7.188 ,3.976 ,2.263 ,1.041 ,-248.098 ,-1.675 
Pt0.4Cu0.6_111,-0.238 ,2329.667 ,82.782 ,2.016 ,-3.623 ,1.844 ,2.048 ,68.075 ,62.407 ,1.924 ,-4.585 ,1.878 ,2.880 ,95.975 ,53.543 ,-7.183 ,4.228 ,2.095 ,0.739 ,-291.771 ,-1.570 
Pd0.2Cu0.8_111,-0.316 ,2856.558 ,69.494 ,2.028 ,-4.012 ,1.571 ,2.507 ,75.182 ,60.897 ,0.816 ,-5.038 ,2.728 ,2.191 ,88.016 ,62.373 ,-6.905 ,4.033 ,2.021 ,0.951 ,-246.233 ,-1.754 
Pd0.5Cu0.5_111,-1.244 ,2594.490 ,81.865 ,2.064 ,-3.608 ,1.843 ,1.721 ,61.646 ,46.719 ,0.763 ,-5.404 ,2.627 ,1.679 ,101.381 ,39.283 ,-6.452 ,4.457 ,1.617 ,0.589 ,-270.210 ,-1.796 
Pd0.1Cu0.9_111,-0.461 ,2964.116 ,66.242 ,2.071 ,-4.117 ,1.516 ,2.523 ,76.439 ,63.468 ,0.959 ,-5.041 ,2.088 ,2.292 ,86.188 ,63.890 ,-7.002 ,3.962 ,2.135 ,1.005 ,-238.362 ,-1.710 
Pt0.3Cu0.7_111,-0.394 ,2435.482 ,74.819 ,2.219 ,-3.749 ,1.712 ,2.596 ,68.466 ,60.823 ,1.625 ,-4.700 ,2.093 ,2.753 ,90.188 ,65.075 ,-7.151 ,4.423 ,2.143 ,0.966 ,-278.503 ,-1.613 
Pt0.5Cu0.5_111,-0.620 ,2120.326 ,83.848 ,2.399 ,-3.481 ,2.016 ,1.875 ,67.174 ,61.582 ,1.911 ,-4.736 ,3.166 ,2.707 ,99.162 ,54.554 ,-7.215 ,4.340 ,2.022 ,0.762 ,-306.706 ,-1.491 
