system,CO-atop,d-dos height,d-dos height2,d-dos position,d-dos position2,d-dos width,d-dos width2,p-dos height,p-dos height2,p-dos position,p-dos position2,p-dos width,p-dos width2,s-dos height,s-dos height2,s-dos position,s-dos position2,s-dos width,s-dos width2,efermi
Pd0.55Cu0.45_111,-1.055 ,2867.337 ,93.861 ,-3.555 ,2.246 ,1.926 ,1.686 ,67.884 ,85.267 ,-4.514 ,1.736 ,2.236 ,2.821 ,116.725 ,36.930 ,-6.422 ,4.529 ,1.561 ,0.680 ,-1.778 
Pt0.3Cu0.7_111,-0.394 ,2763.969 ,85.817 ,-3.754 ,2.257 ,1.748 ,2.580 ,68.844 ,80.889 ,-4.816 ,1.247 ,2.668 ,2.663 ,102.357 ,764.790 ,-7.166 ,-0.542 ,2.172 ,2.524 ,-1.613 
Ag0.45Au0.55_111,0.006 ,2641.888 ,73.857 ,-5.209 ,2.271 ,2.005 ,2.576 ,74.354 ,60.467 ,0.614 ,4.106 ,2.907 ,1.052 ,123.605 ,94.737 ,-7.549 ,3.688 ,1.327 ,1.355 ,-1.369 
Pd0.3Cu0.7_111,-0.922 ,3114.670 ,81.266 ,-3.852 ,2.293 ,1.688 ,2.426 ,69.158 ,85.547 ,-4.843 ,1.109 ,2.198 ,2.777 ,104.089 ,69.888 ,-6.692 ,4.384 ,1.916 ,0.887 ,-1.731 
Pd0.6Cu0.4_111,-1.008 ,2769.930 ,92.653 ,-3.516 ,2.389 ,2.002 ,1.652 ,59.555 ,83.745 ,-3.772 ,1.739 ,1.385 ,2.926 ,118.319 ,34.198 ,-6.370 ,4.629 ,1.497 ,0.665 ,-1.781 
Cu0.8Au0.2_111,-0.388 ,3340.455 ,74.615 ,-4.016 ,2.411 ,1.383 ,2.659 ,84.536 ,61.243 ,0.313 ,4.275 ,2.989 ,1.024 ,87.518 ,82.083 ,-7.662 ,3.868 ,2.238 ,1.315 ,-1.712 
Cu0.85Au0.15_111,-0.032 ,3388.070 ,73.461 ,-4.122 ,2.431 ,1.405 ,2.747 ,71.750 ,72.840 ,-4.103 ,0.842 ,3.638 ,2.248 ,87.963 ,79.843 ,-7.378 ,3.884 ,2.535 ,1.340 ,-1.762 
Pt0.5Cu0.5_111,-0.620 ,2415.844 ,95.757 ,-3.488 ,2.436 ,2.050 ,1.872 ,71.144 ,79.521 ,-4.639 ,1.847 ,2.840 ,2.812 ,113.122 ,58.938 ,-7.214 ,4.340 ,2.055 ,0.806 ,-1.491 
Cu0.90Au0.10_111,-0.443 ,3417.899 ,73.185 ,-4.163 ,2.438 ,1.424 ,2.721 ,88.311 ,66.470 ,0.360 ,4.273 ,2.583 ,1.099 ,85.818 ,78.550 ,-7.255 ,3.862 ,2.643 ,1.348 ,-1.790 
Cu0.7Au0.3_111,-0.301 ,3131.806 ,75.247 ,-3.962 ,2.439 ,1.422 ,2.524 ,82.896 ,65.236 ,0.500 ,4.133 ,2.454 ,1.146 ,78.172 ,82.386 ,-7.924 ,3.825 ,1.985 ,1.288 ,-1.666 
Pd0.65Cu0.35_111,-0.902 ,2728.464 ,91.914 ,-3.526 ,2.443 ,2.036 ,1.658 ,66.013 ,83.625 ,-4.449 ,1.869 ,2.241 ,2.820 ,117.738 ,32.767 ,-6.341 ,4.674 ,1.479 ,0.651 ,-1.787 
Cu0.85Ag0.15_111,-0.445 ,3421.402 ,72.230 ,-4.196 ,2.474 ,1.432 ,2.683 ,87.830 ,62.565 ,0.228 ,4.297 ,2.970 ,1.009 ,79.938 ,77.070 ,-7.092 ,3.862 ,2.053 ,1.298 ,-1.794 
Cu0.75Au0.25_111,-0.406 ,3180.916 ,75.082 ,-3.981 ,2.489 ,1.428 ,2.554 ,84.373 ,65.865 ,0.506 ,4.197 ,2.473 ,1.135 ,88.369 ,84.504 ,-7.803 ,3.859 ,2.120 ,1.314 ,-1.681 
Cu0.95Au0.05_111,-0.448 ,3448.924 ,72.268 ,-4.244 ,2.490 ,1.448 ,2.790 ,88.332 ,63.332 ,0.214 ,4.385 ,2.956 ,1.026 ,90.194 ,76.244 ,-7.251 ,3.914 ,2.474 ,1.343 ,-1.824 
